,Region,Year,Series_x,Value_x,Series_y,Value_y
35,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.0228,Gross enrollment ratio - Tertiary (female),30.6914
37,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.5954,Gross enrollment ratio - Primary (male),104.4358
38,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.5954,Gross enrollment ratio - Primary (female),101.7763
40,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.5954,Gross enrollment ratio - Secondary (male),72.1982
41,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.5954,Gross enrollment ratio - Secondary (female),69.8407
43,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.5954,Gross enrollment ratio - Tertiary (male),28.4958
44,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Male",9.5954,Gross enrollment ratio - Tertiary (female),30.6914
46,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.3892,Gross enrollment ratio - Primary (male),104.4358
47,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.3892,Gross enrollment ratio - Primary (female),101.7763
49,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.3892,Gross enrollment ratio - Secondary (male),72.1982
50,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.3892,Gross enrollment ratio - Secondary (female),69.8407
52,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.3892,Gross enrollment ratio - Tertiary (male),28.4958
53,"Total, all countries or areas",2010,"Percentage of male and female intentional homicide victims, Female",2.3892,Gross enrollment ratio - Tertiary (female),30.6914
70,Northern America,2005,"Intentional homicide rates per 100,000",5.3214,Gross enrollment ratio - Primary (male),101.9909
71,Northern America,2005,"Intentional homicide rates per 100,000",5.3214,Gross enrollment ratio - Primary (female),100.915
73,Northern America,2005,"Intentional homicide rates per 100,000",5.3214,Gross enrollment ratio - Secondary (male),94.9505
74,Northern America,2005,"Intentional homicide rates per 100,000",5.3214,Gross enrollment ratio - Secondary (female),96.3345
76,Northern America,2005,"Intentional homicide rates per 100,000",5.3214,Gross enrollment ratio - Tertiary (male),65.581
77,Northern America,2005,"Intentional homicide rates per 100,000",5.3214,Gross enrollment ratio - Tertiary (female),92.9434
79,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.4562,Gross enrollment ratio - Primary (male),101.9909
80,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.4562,Gross enrollment ratio - Primary (female),100.915
82,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.4562,Gross enrollment ratio - Secondary (male),94.9505
83,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.4562,Gross enrollment ratio - Secondary (female),96.3345
85,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.4562,Gross enrollment ratio - Tertiary (male),65.581
86,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.4562,Gross enrollment ratio - Tertiary (female),92.9434
88,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.2562,Gross enrollment ratio - Primary (male),101.9909
89,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.2562,Gross enrollment ratio - Primary (female),100.915
91,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.2562,Gross enrollment ratio - Secondary (male),94.9505
92,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.2562,Gross enrollment ratio - Secondary (female),96.3345
94,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.2562,Gross enrollment ratio - Tertiary (male),65.581
95,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.2562,Gross enrollment ratio - Tertiary (female),92.9434
97,Northern America,2010,"Intentional homicide rates per 100,000",4.456,Gross enrollment ratio - Primary (male),100.6236
98,Northern America,2010,"Intentional homicide rates per 100,000",4.456,Gross enrollment ratio - Primary (female),99.7427
100,Northern America,2010,"Intentional homicide rates per 100,000",4.456,Gross enrollment ratio - Secondary (male),95.1493
101,Northern America,2010,"Intentional homicide rates per 100,000",4.456,Gross enrollment ratio - Secondary (female),95.928
103,Northern America,2010,"Intentional homicide rates per 100,000",4.456,Gross enrollment ratio - Tertiary (male),75.2445
104,Northern America,2010,"Intentional homicide rates per 100,000",4.456,Gross enrollment ratio - Tertiary (female),104.7904
106,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",6.9798,Gross enrollment ratio - Primary (male),100.6236
107,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",6.9798,Gross enrollment ratio - Primary (female),99.7427
109,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",6.9798,Gross enrollment ratio - Secondary (male),95.1493
110,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",6.9798,Gross enrollment ratio - Secondary (female),95.928
112,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",6.9798,Gross enrollment ratio - Tertiary (male),75.2445
113,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",6.9798,Gross enrollment ratio - Tertiary (female),104.7904
115,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",1.9993,Gross enrollment ratio - Primary (male),100.6236
116,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",1.9993,Gross enrollment ratio - Primary (female),99.7427
118,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",1.9993,Gross enrollment ratio - Secondary (male),95.1493
119,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",1.9993,Gross enrollment ratio - Secondary (female),95.928
121,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",1.9993,Gross enrollment ratio - Tertiary (male),75.2445
122,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",1.9993,Gross enrollment ratio - Tertiary (female),104.7904
172,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.4588,Gross enrollment ratio - Primary (male),103.4445
173,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.4588,Gross enrollment ratio - Primary (female),103.1627
175,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.4588,Gross enrollment ratio - Secondary (male),70.4568
176,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.4588,Gross enrollment ratio - Secondary (female),69.1613
178,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.4588,Gross enrollment ratio - Tertiary (male),25.3612
179,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.4588,Gross enrollment ratio - Tertiary (female),21.8182
181,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",1.629,Gross enrollment ratio - Primary (male),103.4445
182,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",1.629,Gross enrollment ratio - Primary (female),103.1627
184,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",1.629,Gross enrollment ratio - Secondary (male),70.4568
185,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",1.629,Gross enrollment ratio - Secondary (female),69.1613
187,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",1.629,Gross enrollment ratio - Tertiary (male),25.3612
188,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",1.629,Gross enrollment ratio - Tertiary (female),21.8182
190,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.2987,Gross enrollment ratio - Primary (male),103.4445
191,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.2987,Gross enrollment ratio - Primary (female),103.1627
193,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.2987,Gross enrollment ratio - Secondary (male),70.4568
194,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.2987,Gross enrollment ratio - Secondary (female),69.1613
196,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.2987,Gross enrollment ratio - Tertiary (male),25.3612
197,Eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.2987,Gross enrollment ratio - Tertiary (female),21.8182
199,Eastern Asia,2010,"Intentional homicide rates per 100,000",0.9375,Gross enrollment ratio - Primary (male),99.9539
200,Eastern Asia,2010,"Intentional homicide rates per 100,000",0.9375,Gross enrollment ratio - Primary (female),98.4497
202,Eastern Asia,2010,"Intentional homicide rates per 100,000",0.9375,Gross enrollment ratio - Secondary (male),89.313
203,Eastern Asia,2010,"Intentional homicide rates per 100,000",0.9375,Gross enrollment ratio - Secondary (female),89.1436
205,Eastern Asia,2010,"Intentional homicide rates per 100,000",0.9375,Gross enrollment ratio - Tertiary (male),27.8057
206,Eastern Asia,2010,"Intentional homicide rates per 100,000",0.9375,Gross enrollment ratio - Tertiary (female),27.8759
208,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",0.975,Gross enrollment ratio - Primary (male),99.9539
209,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",0.975,Gross enrollment ratio - Primary (female),98.4497
211,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",0.975,Gross enrollment ratio - Secondary (male),89.313
212,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",0.975,Gross enrollment ratio - Secondary (female),89.1436
214,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",0.975,Gross enrollment ratio - Tertiary (male),27.8057
215,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",0.975,Gross enrollment ratio - Tertiary (female),27.8759
217,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.9092,Gross enrollment ratio - Primary (male),99.9539
218,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.9092,Gross enrollment ratio - Primary (female),98.4497
220,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.9092,Gross enrollment ratio - Secondary (male),89.313
221,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.9092,Gross enrollment ratio - Secondary (female),89.1436
223,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.9092,Gross enrollment ratio - Tertiary (male),27.8057
224,Eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.9092,Gross enrollment ratio - Tertiary (female),27.8759
229,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8062,Gross enrollment ratio - Primary (male),106.8339
230,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8062,Gross enrollment ratio - Primary (female),103.8287
232,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8062,Gross enrollment ratio - Secondary (male),62.563
233,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8062,Gross enrollment ratio - Secondary (female),62.3813
235,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8062,Gross enrollment ratio - Tertiary (male),21.0451
236,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8062,Gross enrollment ratio - Tertiary (female),21.0441
238,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.7643,Gross enrollment ratio - Primary (male),106.8339
239,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.7643,Gross enrollment ratio - Primary (female),103.8287
241,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.7643,Gross enrollment ratio - Secondary (male),62.563
242,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.7643,Gross enrollment ratio - Secondary (female),62.3813
244,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.7643,Gross enrollment ratio - Tertiary (male),21.0451
245,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.7643,Gross enrollment ratio - Tertiary (female),21.0441
247,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",0.8553,Gross enrollment ratio - Primary (male),106.8339
248,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",0.8553,Gross enrollment ratio - Primary (female),103.8287
250,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",0.8553,Gross enrollment ratio - Secondary (male),62.563
251,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",0.8553,Gross enrollment ratio - Secondary (female),62.3813
253,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",0.8553,Gross enrollment ratio - Tertiary (male),21.0451
254,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",0.8553,Gross enrollment ratio - Tertiary (female),21.0441
256,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.7804,Gross enrollment ratio - Primary (male),106.7647
257,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.7804,Gross enrollment ratio - Primary (female),107.0813
259,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.7804,Gross enrollment ratio - Secondary (male),70.5239
260,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.7804,Gross enrollment ratio - Secondary (female),71.3159
262,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.7804,Gross enrollment ratio - Tertiary (male),25.9531
263,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.7804,Gross enrollment ratio - Tertiary (female),27.701
265,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7868,Gross enrollment ratio - Primary (male),106.7647
266,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7868,Gross enrollment ratio - Primary (female),107.0813
268,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7868,Gross enrollment ratio - Secondary (male),70.5239
269,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7868,Gross enrollment ratio - Secondary (female),71.3159
271,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7868,Gross enrollment ratio - Tertiary (male),25.9531
272,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.7868,Gross enrollment ratio - Tertiary (female),27.701
274,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.7724,Gross enrollment ratio - Primary (male),106.7647
275,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.7724,Gross enrollment ratio - Primary (female),107.0813
277,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.7724,Gross enrollment ratio - Secondary (male),70.5239
278,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.7724,Gross enrollment ratio - Secondary (female),71.3159
280,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.7724,Gross enrollment ratio - Tertiary (male),25.9531
281,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",0.7724,Gross enrollment ratio - Tertiary (female),27.701
286,Southern Asia,2005,"Intentional homicide rates per 100,000",4.0033,Gross enrollment ratio - Primary (male),104.7583
287,Southern Asia,2005,"Intentional homicide rates per 100,000",4.0033,Gross enrollment ratio - Primary (female),100.1279
289,Southern Asia,2005,"Intentional homicide rates per 100,000",4.0033,Gross enrollment ratio - Secondary (male),54.8075
290,Southern Asia,2005,"Intentional homicide rates per 100,000",4.0033,Gross enrollment ratio - Secondary (female),47.0433
292,Southern Asia,2005,"Intentional homicide rates per 100,000",4.0033,Gross enrollment ratio - Tertiary (male),11.6777
293,Southern Asia,2005,"Intentional homicide rates per 100,000",4.0033,Gross enrollment ratio - Tertiary (female),8.7975
295,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2406,Gross enrollment ratio - Primary (male),104.7583
296,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2406,Gross enrollment ratio - Primary (female),100.1279
298,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2406,Gross enrollment ratio - Secondary (male),54.8075
299,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2406,Gross enrollment ratio - Secondary (female),47.0433
301,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2406,Gross enrollment ratio - Tertiary (male),11.6777
302,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2406,Gross enrollment ratio - Tertiary (female),8.7975
304,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.7105,Gross enrollment ratio - Primary (male),104.7583
305,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.7105,Gross enrollment ratio - Primary (female),100.1279
307,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.7105,Gross enrollment ratio - Secondary (male),54.8075
308,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.7105,Gross enrollment ratio - Secondary (female),47.0433
310,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.7105,Gross enrollment ratio - Tertiary (male),11.6777
311,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.7105,Gross enrollment ratio - Tertiary (female),8.7975
313,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9923,Gross enrollment ratio - Primary (male),105.8916
314,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9923,Gross enrollment ratio - Primary (female),105.8495
316,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9923,Gross enrollment ratio - Secondary (male),61.1064
317,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9923,Gross enrollment ratio - Secondary (female),57.0748
319,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9923,Gross enrollment ratio - Tertiary (male),19.3484
320,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9923,Gross enrollment ratio - Tertiary (female),14.9913
322,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.8901,Gross enrollment ratio - Primary (male),105.8916
323,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.8901,Gross enrollment ratio - Primary (female),105.8495
325,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.8901,Gross enrollment ratio - Secondary (male),61.1064
326,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.8901,Gross enrollment ratio - Secondary (female),57.0748
328,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.8901,Gross enrollment ratio - Tertiary (male),19.3484
329,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.8901,Gross enrollment ratio - Tertiary (female),14.9913
331,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",3.0716,Gross enrollment ratio - Primary (male),105.8916
332,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",3.0716,Gross enrollment ratio - Primary (female),105.8495
334,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",3.0716,Gross enrollment ratio - Secondary (male),61.1064
335,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",3.0716,Gross enrollment ratio - Secondary (female),57.0748
337,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",3.0716,Gross enrollment ratio - Tertiary (male),19.3484
338,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",3.0716,Gross enrollment ratio - Tertiary (female),14.9913
343,Western Asia,2005,"Intentional homicide rates per 100,000",4.707,Gross enrollment ratio - Primary (male),104.9917
344,Western Asia,2005,"Intentional homicide rates per 100,000",4.707,Gross enrollment ratio - Primary (female),95.639
346,Western Asia,2005,"Intentional homicide rates per 100,000",4.707,Gross enrollment ratio - Secondary (male),79.7276
347,Western Asia,2005,"Intentional homicide rates per 100,000",4.707,Gross enrollment ratio - Secondary (female),68.6381
349,Western Asia,2005,"Intentional homicide rates per 100,000",4.707,Gross enrollment ratio - Tertiary (male),28.0328
350,Western Asia,2005,"Intentional homicide rates per 100,000",4.707,Gross enrollment ratio - Tertiary (female),25.2819
352,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.2838,Gross enrollment ratio - Primary (male),104.9917
353,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.2838,Gross enrollment ratio - Primary (female),95.639
355,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.2838,Gross enrollment ratio - Secondary (male),79.7276
356,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.2838,Gross enrollment ratio - Secondary (female),68.6381
358,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.2838,Gross enrollment ratio - Tertiary (male),28.0328
359,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.2838,Gross enrollment ratio - Tertiary (female),25.2819
361,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9024,Gross enrollment ratio - Primary (male),104.9917
362,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9024,Gross enrollment ratio - Primary (female),95.639
364,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9024,Gross enrollment ratio - Secondary (male),79.7276
365,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9024,Gross enrollment ratio - Secondary (female),68.6381
367,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9024,Gross enrollment ratio - Tertiary (male),28.0328
368,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.9024,Gross enrollment ratio - Tertiary (female),25.2819
370,Western Asia,2010,"Intentional homicide rates per 100,000",3.7595,Gross enrollment ratio - Primary (male),105.4687
371,Western Asia,2010,"Intentional homicide rates per 100,000",3.7595,Gross enrollment ratio - Primary (female),98.1193
373,Western Asia,2010,"Intentional homicide rates per 100,000",3.7595,Gross enrollment ratio - Secondary (male),80.0005
374,Western Asia,2010,"Intentional homicide rates per 100,000",3.7595,Gross enrollment ratio - Secondary (female),72.1902
376,Western Asia,2010,"Intentional homicide rates per 100,000",3.7595,Gross enrollment ratio - Tertiary (male),36.1871
377,Western Asia,2010,"Intentional homicide rates per 100,000",3.7595,Gross enrollment ratio - Tertiary (female),33.9901
379,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.8103,Gross enrollment ratio - Primary (male),105.4687
380,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.8103,Gross enrollment ratio - Primary (female),98.1193
382,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.8103,Gross enrollment ratio - Secondary (male),80.0005
383,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.8103,Gross enrollment ratio - Secondary (female),72.1902
385,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.8103,Gross enrollment ratio - Tertiary (male),36.1871
386,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.8103,Gross enrollment ratio - Tertiary (female),33.9901
388,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.5272,Gross enrollment ratio - Primary (male),105.4687
389,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.5272,Gross enrollment ratio - Primary (female),98.1193
391,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.5272,Gross enrollment ratio - Secondary (male),80.0005
392,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.5272,Gross enrollment ratio - Secondary (female),72.1902
394,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.5272,Gross enrollment ratio - Tertiary (male),36.1871
395,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.5272,Gross enrollment ratio - Tertiary (female),33.9901
400,Europe,2005,"Intentional homicide rates per 100,000",6.5014,Gross enrollment ratio - Primary (male),102.0702
401,Europe,2005,"Intentional homicide rates per 100,000",6.5014,Gross enrollment ratio - Primary (female),101.3141
403,Europe,2005,"Intentional homicide rates per 100,000",6.5014,Gross enrollment ratio - Secondary (male),97.7422
404,Europe,2005,"Intentional homicide rates per 100,000",6.5014,Gross enrollment ratio - Secondary (female),97.541
406,Europe,2005,"Intentional homicide rates per 100,000",6.5014,Gross enrollment ratio - Tertiary (male),55.4124
407,Europe,2005,"Intentional homicide rates per 100,000",6.5014,Gross enrollment ratio - Tertiary (female),70.8177
409,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.866,Gross enrollment ratio - Primary (male),102.0702
410,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.866,Gross enrollment ratio - Primary (female),101.3141
412,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.866,Gross enrollment ratio - Secondary (male),97.7422
413,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.866,Gross enrollment ratio - Secondary (female),97.541
415,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.866,Gross enrollment ratio - Tertiary (male),55.4124
416,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.866,Gross enrollment ratio - Tertiary (female),70.8177
418,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.3744,Gross enrollment ratio - Primary (male),102.0702
419,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.3744,Gross enrollment ratio - Primary (female),101.3141
421,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.3744,Gross enrollment ratio - Secondary (male),97.7422
422,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.3744,Gross enrollment ratio - Secondary (female),97.541
424,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.3744,Gross enrollment ratio - Tertiary (male),55.4124
425,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.3744,Gross enrollment ratio - Tertiary (female),70.8177
