Region,Year,CrimeRate,EducationRate,CrimeInfo,EducationInfo,Gender
Eastern Asia,2010,0.975,99.9539,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Eastern Asia,2010,0.9092,27.8759,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Eastern Asia,2010,0.9092,89.1436,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Eastern Asia,2010,0.9092,98.4497,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
South-eastern Asia,2005,2.8062,11321.3728,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
South-eastern Asia,2005,2.8062,40815.1519,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
South-eastern Asia,2005,2.8062,68253.2302,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
South-eastern Asia,2005,4.7643,21.0451,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
South-eastern Asia,2005,4.7643,62.563,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
South-eastern Asia,2005,4.7643,106.8339,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
South-eastern Asia,2005,0.8553,21.0441,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
South-eastern Asia,2005,0.8553,62.3813,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
South-eastern Asia,2005,0.8553,103.8287,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
South-eastern Asia,2010,2.7804,14474.9357,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
South-eastern Asia,2010,2.7804,45537.6522,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
South-eastern Asia,2010,2.7804,68327.4383,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
South-eastern Asia,2010,4.7868,25.9531,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
South-eastern Asia,2010,4.7868,70.5239,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
South-eastern Asia,2010,4.7868,106.7647,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
South-eastern Asia,2010,0.7724,27.701,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
South-eastern Asia,2010,0.7724,71.3159,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
South-eastern Asia,2010,0.7724,107.0813,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Southern Asia,2005,4.0033,16055.1581,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Southern Asia,2005,4.0033,120737.7349,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Southern Asia,2005,4.0033,181480.9186,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Southern Asia,2005,5.2406,11.6777,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Southern Asia,2005,5.2406,54.8075,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Southern Asia,2005,5.2406,104.7583,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Southern Asia,2005,2.7105,8.7975,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Southern Asia,2005,2.7105,47.0433,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Southern Asia,2005,2.7105,100.1279,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Southern Asia,2010,3.9923,28467.3022,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Southern Asia,2010,3.9923,143371.2819,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Southern Asia,2010,3.9923,191840.193,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Southern Asia,2010,4.8901,19.3484,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Southern Asia,2010,4.8901,61.1064,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Southern Asia,2010,4.8901,105.8916,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Southern Asia,2010,3.0716,14.9913,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Southern Asia,2010,3.0716,57.0748,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Southern Asia,2010,3.0716,105.8495,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Western Asia,2005,4.707,5186.0989,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Western Asia,2005,4.707,19713.5197,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Western Asia,2005,4.707,24173.3205,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Western Asia,2005,7.2838,28.0328,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Western Asia,2005,7.2838,79.7276,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Western Asia,2005,7.2838,104.9917,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Western Asia,2005,1.9024,25.2819,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Western Asia,2005,1.9024,68.6381,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Western Asia,2005,1.9024,95.639,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Western Asia,2010,3.7595,7524.1591,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Western Asia,2010,3.7595,22395.9335,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Western Asia,2010,3.7595,25403.719,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Western Asia,2010,5.8103,36.1871,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Western Asia,2010,5.8103,80.0005,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Western Asia,2010,5.8103,105.4687,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Western Asia,2010,1.5272,33.9901,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Western Asia,2010,1.5272,72.1902,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Western Asia,2010,1.5272,98.1193,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Europe,2005,6.5014,32162.5832,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Europe,2005,6.5014,65272.2982,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Europe,2005,6.5014,38466.5916,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Europe,2005,9.866,55.4124,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Europe,2005,9.866,97.7422,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Europe,2005,9.866,102.0702,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Europe,2005,3.3744,70.8177,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Europe,2005,3.3744,97.541,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Europe,2005,3.3744,101.3141,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Europe,2010,3.4887,33704.6895,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Europe,2010,3.4887,58634.7721,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Europe,2010,3.4887,36752.0496,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Europe,2010,5.1291,59.7221,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Europe,2010,5.1291,101.2196,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Europe,2010,5.1291,102.1306,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Europe,2010,1.9645,76.8114,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Europe,2010,1.9645,100.4545,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Europe,2010,1.9645,101.5827,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Oceania,2005,3.0863,1615.5426,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Oceania,2005,3.0863,3566.4196,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Oceania,2005,3.0863,3141.5993,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Oceania,2005,3.8722,57.1546,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Oceania,2005,3.8722,111.7047,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Oceania,2005,3.8722,91.0423,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Oceania,2005,2.2946,70.6531,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Oceania,2005,2.2946,108.4703,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Oceania,2005,2.2946,89.0703,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Oceania,2010,2.9599,1987.0284,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Oceania,2010,2.9599,3769.7008,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Oceania,2010,2.9599,3555.8705,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Oceania,2010,3.4837,61.0251,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Oceania,2010,3.4837,114.6994,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Oceania,2010,3.4837,99.4235,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Oceania,2010,2.4309,82.3883,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Oceania,2010,2.4309,107.0654,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Oceania,2010,2.4309,96.4325,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Afghanistan,2010,3.3681,2044.157,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Afghanistan,2010,3.3681,5279.326,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Albania,2005,4.989,63.257,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Albania,2005,4.989,407.403,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Albania,2005,4.989,237.975,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Albania,2005,8.5697,18.841,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Albania,2005,8.5697,79.2454,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Albania,2005,8.5697,100.4183,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Albania,2005,1.3682,27.3505,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Albania,2005,1.3682,76.5058,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Albania,2005,1.3682,100.9562,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Albania,2005,5.34,63.257,"Assault rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Albania,2005,5.34,407.403,"Assault rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Albania,2005,5.34,237.975,"Assault rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Albania,2005,96.73,63.257,"Theft at the national level, rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Albania,2005,96.73,407.403,"Theft at the national level, rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Albania,2005,96.73,237.975,"Theft at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Albania,2005,2.883,63.257,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Albania,2005,2.883,407.403,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in secondary education (thousands),Combined
Albania,2005,2.883,237.975,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Albania,2010,4.308,122.326,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Albania,2010,4.308,355.871,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Albania,2010,4.308,224.781,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Albania,2010,7.2724,38.0478,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Albania,2010,7.2724,87.8748,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Albania,2010,7.2724,93.207,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Albania,2010,1.2987,51.5711,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Albania,2010,1.2987,88.3555,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Albania,2010,1.2987,93.8049,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Albania,2010,6.04,122.326,"Assault rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Albania,2010,6.04,355.871,"Assault rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Albania,2010,6.04,224.781,"Assault rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Albania,2010,0.305,122.326,"Kidnapping at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Albania,2010,0.305,355.871,"Kidnapping at the national level, rate per 100,000",Students enrolled in secondary education (thousands),Combined
Albania,2010,0.305,224.781,"Kidnapping at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Albania,2010,134.94,122.326,"Theft at the national level, rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Albania,2010,134.94,355.871,"Theft at the national level, rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Albania,2010,134.94,224.781,"Theft at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Albania,2010,8.005,122.326,"Robbery at the national level, rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Albania,2010,8.005,355.871,"Robbery at the national level, rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Albania,2010,8.005,224.781,"Robbery at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Albania,2010,2.68,122.326,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Albania,2010,2.68,355.871,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in secondary education (thousands),Combined
Albania,2010,2.68,224.781,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2005,0.6154,792.121,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2005,0.6154,3654.232,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Algeria,2005,0.6154,4361.744,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2005,99.31,792.121,"Assault rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Algeria,2005,99.31,3654.232,"Assault rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Algeria,2005,99.31,4361.744,"Assault rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Algeria,2005,0.305,792.121,"Kidnapping at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2005,0.305,3654.232,"Kidnapping at the national level, rate per 100,000",Students enrolled in secondary education (thousands),Combined
Algeria,2005,0.305,4361.744,"Kidnapping at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2010,0.706,1144.271,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2010,0.706,4616.226,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Algeria,2010,0.706,3312.44,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2010,115.02,1144.271,"Assault rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Algeria,2010,115.02,4616.226,"Assault rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Algeria,2010,115.02,3312.44,"Assault rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Algeria,2010,0.492,1144.271,"Kidnapping at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2010,0.492,4616.226,"Kidnapping at the national level, rate per 100,000",Students enrolled in secondary education (thousands),Combined
Algeria,2010,0.492,3312.44,"Kidnapping at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2010,141.94,1144.271,"Theft at the national level, rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Algeria,2010,141.94,4616.226,"Theft at the national level, rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Algeria,2010,141.94,3312.44,"Theft at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Algeria,2010,51.394,1144.271,"Robbery at the national level, rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Algeria,2010,51.394,4616.226,"Robbery at the national level, rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Algeria,2010,51.394,3312.44,"Robbery at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Algeria,2010,10.548,1144.271,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2010,10.548,4616.226,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in secondary education (thousands),Combined
Algeria,2010,10.548,3312.44,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2015,1.3643,1289.474,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2015,1.3643,3925.429,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2015,2.3375,28.7897,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Algeria,2015,2.3375,118.6502,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Algeria,2015,0.3712,45.0476,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Algeria,2015,0.3712,112.9905,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Algeria,2015,123.57,1289.474,"Assault rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Algeria,2015,123.57,3925.429,"Assault rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Algeria,2015,1.301,1289.474,"Kidnapping at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2015,1.301,3925.429,"Kidnapping at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Algeria,2015,124.78,1289.474,"Theft at the national level, rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Algeria,2015,124.78,3925.429,"Theft at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Algeria,2015,65.5,1289.474,"Robbery at the national level, rate per 100,000 population",Students enrolled in tertiary education (thousands),Combined
Algeria,2015,65.5,3925.429,"Robbery at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Algeria,2015,8.458,1289.474,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in tertiary education (thousands),Combined
Algeria,2015,8.458,3925.429,"Total Sexual Violence at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Andorra,2010,0,4.059,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Andorra,2010,0,4.367,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Andorra,2010,116.67,4.059,"Assault rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Andorra,2010,116.67,4.367,"Assault rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Andorra,2010,0,4.059,"Kidnapping at the national level, rate per 100,000",Students enrolled in secondary education (thousands),Combined
Andorra,2010,0,4.367,"Kidnapping at the national level, rate per 100,000",Students enrolled in primary education (thousands),Combined
Andorra,2010,1329.76,4.059,"Theft at the national level, rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Andorra,2010,1329.76,4.367,"Theft at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
Andorra,2010,9.524,4.059,"Robbery at the national level, rate per 100,000 population",Students enrolled in secondary education (thousands),Combined
Andorra,2010,9.524,4.367,"Robbery at the national level, rate per 100,000 population",Students enrolled in primary education (thousands),Combined
